"Date is the CalLite-CV date column, the next column with the name of a CalLite-CV element is the LocalInflow data from the CT_noCC run for the CalLite-CV element from which we're going to be deriving these DSM stream flow time series in cfs (I couldn't find an output file in the Basin Study documentation for this like I did for the Outflow data in the master csv but spot checks indicated that the GoldSim model file I'm pulling these from have identical data to those outputs), CSDate is for my reference to avoid screwing up the 10/2014=10/1925 matching and shouldn't be needed for you, and the CalSim II records corresponding to the local inflows to the CalLite-CV element are listed afterward (in TAF/month, NOT cfs - I can do that conversion if it's more convenient but I'm hoping it'll be trivial for you... in any case we're not trying to do mass balance here, just multiplying by the fractions of the CalSim II totals, so as long as CalSim II is internally consistent wrt units it should be fine, right?). 'matches for other csvs.csv' contains the mappings between the DSM streams and CalSim II elements, as a one-stop summary for which DSM streams are showing up in which specific .csvs like this one. I renamed the CalSim II elements that map to DSM streams in this csv; everything that still has a CalSim II name is one of the elements that contributes to the total (the denominator) but is NOT a DSM stream. The CalSim II run I'm using at the moment is the most recent representation of current operations I've received; probably we'll be choosing a different baseline in the future but the matches csv mentioned above contains the CalSim II match for DSM streams, so I can go back and re-pull those time series if/when necessary. C17603 is Sites Reservoir outflows into the Sacramento in this region; it's zeroed out in the run I'm using but that should be re-checked if a different run is used. NOTE that matching 2014 to 1925 results in the last ~7 years of the CalLite-CV run not having an equivalent CS2 number...",,,,,,,,,,,,
Date,WilkinsSlough,CSDate,Elder Creek,Thomes Creek,Antelope Creek,Mill Creek,Deer Creek,Big Chico Creek,Stony Creek,C184A,I118,I123
10/1/2014 0:00,189.9,31-Oct-25,13.8,29.5,32.6,79.5,84.4,19.3,128,93.4,0,4.300000191
11/1/2014 0:00,288.7,30-Nov-25,13.6,45.1,43.9,80.2,120.2,40.5,236,252.3,0,0
12/1/2014 0:00,586.6,31-Dec-25,35.7,114.6,84.9,135.1,149.3,63.9,25,430.6,0,5.300000191
1/1/2015 0:00,1392,31-Jan-26,66.2,139.8,185.2,267.1,209.1,87.1,225,663.3,0,39.09999847
2/1/2015 0:00,4068,28-Feb-26,357.8,1082.2,208.2,354.1,698.1,283.6,1676,0,188.1999969,101.5
3/1/2015 0:00,1148,31-Mar-26,117.7,363.6,77.9,174.4,255.9,86.9,26,374.1,0.5,4.199999809
4/1/2015 0:00,1529,30-Apr-26,100.4,514.4,214.9,437.5,751.5,224.2,18,1716,0,57.20000076
5/1/2015 0:00,1039,31-May-26,20.1,110.4,58.7,174.9,178.2,29.5,28,492.3,0,7.300000191
6/1/2015 0:00,551.1,30-Jun-26,5.5,26.5,28.2,120.6,91.1,13.3,12,759.4,0,13.5
7/1/2015 0:00,218.8,31-Jul-26,2,6,21.6,94.2,71.7,11.7,0,665.2,0,14.80000019
8/1/2015 0:00,276.5,31-Aug-26,0.6,1,20.3,67,67.6,11.4,0,551.9,0,4.599999905
9/1/2015 0:00,198.9,30-Sep-26,0.2,0.3,21.2,62.9,69.1,11.9,23,327.7,0,33.59999847
10/1/2015 0:00,181.3,31-Oct-26,3.6,7.7,33.6,82,87.1,19.9,0,10.3,0,8.100000381
11/1/2015 0:00,3467,30-Nov-26,111.4,370.7,187.2,341.7,512.3,172.4,11,1177,42.90000153,57.70000076
12/1/2015 0:00,3003,31-Dec-26,204.2,655,165.1,262.7,290.3,124.2,1360,1553,46.59999847,0
1/1/2016 0:00,3594,31-Jan-27,245.5,518,416.7,601,470.4,196.1,846,0,37.59999847,13.5
2/1/2016 0:00,12038,28-Feb-27,565.2,1709.3,417,709.2,1398.2,568.1,4197,0,730.2000122,90.59999847
3/1/2016 0:00,5352,31-Mar-27,314,970.3,183.6,410.8,603,204.7,16,0,116.1999969,98.90000153
4/1/2016 0:00,1486,30-Apr-27,163.7,838.9,207,421.4,723.7,215.9,18,0,115.9000015,212.6999969
5/1/2016 0:00,1397,31-May-27,86.9,476.8,142.8,425.2,433.2,71.7,17,515.1,0,37.79999924
6/1/2016 0:00,861.6,30-Jun-27,32,153.8,58.6,250.5,189.2,27.5,12,1116.4,0,13.30000019
7/1/2016 0:00,476.2,31-Jul-27,10.3,30.8,34.4,150,114.2,18.6,11,878.8,0,2.400000095
8/1/2016 0:00,561.3,31-Aug-27,5.1,8.4,28.6,94.5,95.4,16,12,563,0,0
9/1/2016 0:00,447.7,30-Sep-27,3.4,5,27.6,81.6,89.6,15.5,23,446,0,6
10/1/2016 0:00,416.3,31-Oct-27,3.2,6.9,37,90.3,95.9,21.9,14,44.4,0,4.099999905
11/1/2016 0:00,1478,30-Nov-27,127,422.4,120.1,219.2,328.7,110.6,213,694.3,0,8.199999809
12/1/2016 0:00,2260,31-Dec-27,68.2,218.8,120.7,192.2,212.3,90.9,226,1179.8,25,1.799999952
1/1/2017 0:00,1993,31-Jan-28,221.7,467.9,204.6,295.1,231,96.3,603,1077,0,14.69999981
2/1/2017 0:00,1955,29-Feb-28,274.5,830.1,137.4,233.6,460.5,187.1,603,0,128.8000031,78.59999847
3/1/2017 0:00,4098,31-Mar-28,393.9,1217.1,380.2,851,1249,423.9,1098,0,312.2000122,110.5999985
4/1/2017 0:00,2105,30-Apr-28,129.2,662.1,148.2,301.7,518.2,154.6,18,2532.6,50.29999924,101.5999985
5/1/2017 0:00,1394,31-May-28,39.8,218.1,88.6,264,268.9,44.5,28,602.5,0,43.70000076
6/1/2017 0:00,768.8,30-Jun-28,21.7,104.4,46.2,197.5,149.2,21.7,12,944.9,0,15.39999962
7/1/2017 0:00,477.4,31-Jul-28,4.9,14.5,28.9,126,95.9,15.6,0,1145.1,0,21.20000076
8/1/2017 0:00,584.7,31-Aug-28,0.3,0.5,27.5,90.8,91.6,15.4,0,536,0,8.5
9/1/2017 0:00,507.2,30-Sep-28,0.4,0.6,26.6,78.7,86.3,14.9,23,382.8,0,26.20000076
10/1/2017 0:00,343.9,31-Oct-28,1,2.1,37.9,92.3,91,20.8,0,0,0,0
11/1/2017 0:00,1238,30-Nov-28,0.9,3.1,74,135.1,125.8,42.3,11,169.8,0,0
12/1/2017 0:00,1066,31-Dec-28,48.5,155.5,89.6,142.7,148.1,63.4,10,724,2.5,0
1/1/2018 0:00,1131,31-Jan-29,56.7,119.6,79.5,114.7,114.5,47.7,10,245.3,0,20.29999924
2/1/2018 0:00,1560,28-Feb-29,57.2,173.1,120,204,252.1,102.4,28,774.9,41.5,7.800000191
3/1/2018 0:00,936.1,31-Mar-29,42.9,132.6,78.6,175.9,206.4,70.1,20,597.5,9,3.900000095
4/1/2018 0:00,1018,30-Apr-29,25.4,130.2,99.6,202.7,205.4,61.3,18,1256.3,7.099999905,10.80000019
5/1/2018 0:00,848.7,31-May-29,25.5,139.7,88.8,264.6,152.2,25.2,17,566.9,0,38.79999924
6/1/2018 0:00,464.3,30-Jun-29,8.1,38.8,39.1,167.1,108.4,15.8,0,812.6,0,20.79999924
7/1/2018 0:00,483.9,31-Jul-29,0.3,1,22,95.8,72,11.7,0,468.8,0,14.89999962
8/1/2018 0:00,410.1,31-Aug-29,0.1,0.1,23.3,77,65.1,10.9,0,337.7,0,4.099999905
9/1/2018 0:00,362.8,30-Sep-29,0,0,24.4,72.1,65.9,11.4,12,281.7,0,16.10000038
10/1/2018 0:00,252.4,31-Oct-29,0,0,30.5,74.4,70,16,0,0,0,0
11/1/2018 0:00,272.2,30-Nov-29,0.9,3,40.3,73.5,69.7,23.5,11,15.6,0,27.60000038
12/1/2018 0:00,2226,31-Dec-29,177,567.8,319.6,508.7,646,276.5,10,1270.8,106.4000015,0
1/1/2019 0:00,3604,31-Jan-30,121.7,256.9,250.2,360.8,416.9,173.8,10,1148.8,18.29999924,22.60000038
2/1/2019 0:00,3461,28-Feb-30,176.1,532.7,204.9,348.5,505.8,205.5,28,900.1,98.19999695,61.40000153
3/1/2019 0:00,2160,31-Mar-30,156.3,483.1,189.6,424.4,642,217.9,25,1366.6,105.1999969,82.5
4/1/2019 0:00,1129,30-Apr-30,64.1,328.3,184.6,375.8,452.4,135,30,1090.9,0,31
5/1/2019 0:00,1160,31-May-30,21.2,116.3,104.7,311.7,292.2,48.4,28,617.1,0,35.09999847
6/1/2019 0:00,567.2,30-Jun-30,7.7,37.2,51.2,219,127.7,18.6,12,1070.8,0,7.199999809
7/1/2019 0:00,533.9,31-Jul-30,1.7,5.1,26.8,116.8,88,14.3,0,722.8,0,1.5
8/1/2019 0:00,470.1,31-Aug-30,0,0,27.1,89.4,78,13.1,0,468.1,0,0
9/1/2019 0:00,355.2,30-Sep-30,0,0,31.4,92.9,81.5,14.1,23,386,0,7.300000191
10/1/2019 0:00,317.4,31-Oct-30,1.2,2.7,35.9,87.5,81.2,24.8,0,0,0,5.099999905
11/1/2019 0:00,336.9,30-Nov-30,5.7,18.9,50.9,92.9,91.3,27,11,18.1,0,0
12/1/2019 0:00,313.7,31-Dec-30,6,19.2,56.8,90.4,87.2,26,10,196.8,0,0
1/1/2020 0:00,1425,31-Jan-31,93.6,197.5,120.3,173.6,157.3,60.4,10,495.4,15.69999981,26.20000076
2/1/2020 0:00,1186,28-Feb-31,57.5,174,84.8,144.2,150.6,54.1,28,535.4,12.30000019,0
3/1/2020 0:00,795.2,31-Mar-31,87.2,269.5,94.7,211.9,257.3,76.3,9,258.9,13.60000038,0
4/1/2020 0:00,907.4,30-Apr-31,21.6,110.7,80.9,164.8,129,28.6,4,977.7,0,0
5/1/2020 0:00,914.6,31-May-31,9.4,51.8,53.7,160,92.8,23.3,0,335.6,0,0
6/1/2020 0:00,1170,30-Jun-31,4.6,22.3,21.5,92,72.2,20.6,0,715.2,0,0
7/1/2020 0:00,738.9,31-Jul-31,0.8,2.3,15.1,65.8,59.1,15,0,478,0,0
8/1/2020 0:00,224.5,31-Aug-31,0,0,18,59.5,56.4,14.4,0,265,0,0
9/1/2020 0:00,-95.44,30-Sep-31,0,0,21.4,63.4,58.4,15.6,0,260.5,0,9
10/1/2020 0:00,-53.26,31-Oct-31,8.2,17.4,36,87.9,76.4,20.8,3,0,0,0
11/1/2020 0:00,158.7,30-Nov-31,10,33.3,49.7,90.7,86,32.6,11,13.6,0.899999976,0
12/1/2020 0:00,2121,31-Dec-31,44.7,143.3,236.2,376,456.5,311,10,1433.5,65.59999847,27.29999924
1/1/2021 0:00,2990,31-Jan-32,116.5,245.8,137.3,198,229.8,145.5,70,1020.4,9.399999619,29.39999962
2/1/2021 0:00,1541,29-Feb-32,72.3,218.7,99.8,169.7,206.5,129,28,684.8,15.19999981,22.70000076
3/1/2021 0:00,620.7,31-Mar-32,171.7,530.6,126.8,283.7,338.2,97.1,11,469.7,33.29999924,52.40000153
4/1/2021 0:00,683.8,30-Apr-32,54.9,281.4,169.8,345.7,427.8,112.3,18,1079.3,0,30.60000038
5/1/2021 0:00,555,31-May-32,50.8,278.9,143.9,428.5,431.5,88.1,17,443.8,0,22.20000076
6/1/2021 0:00,702.7,30-Jun-32,18,86.6,64.7,276.8,160.1,40.1,12,601.1,0,55.20000076
7/1/2021 0:00,375.3,31-Jul-32,3.5,10.4,26.8,116.9,88.6,21,0,457.3,0,21.70000076
8/1/2021 0:00,107.4,31-Aug-32,0.3,0.5,24.3,80.3,74.2,17.8,0,245.1,0,11.39999962
9/1/2021 0:00,-11.91,30-Sep-32,0,0,25.3,75,71.7,17.5,12,95.9,0,22.60000038
10/1/2021 0:00,-325.6,31-Oct-32,0,0,31.5,77,72.7,18.3,0,0,0,0.5
11/1/2021 0:00,-190.3,30-Nov-32,0.8,2.8,45,82,80.8,21.7,11,19.2,1.700000048,0
12/1/2021 0:00,153.4,31-Dec-32,4.4,14.1,57.9,92.2,100.5,25.8,10,229.7,1.299999952,0
1/1/2022 0:00,753.4,31-Jan-33,18.7,39.4,94,135.6,138.5,51.1,10,654.1,16,29
2/1/2022 0:00,828.9,28-Feb-33,19.8,59.8,74.5,126.7,146.5,68.3,28,578.6,3.599999905,0
3/1/2022 0:00,991.2,31-Mar-33,96.6,298.6,102.8,230,342.6,243.6,13,511.5,54.09999847,29.79999924
4/1/2022 0:00,361,30-Apr-33,88.7,454.5,122.8,249.9,283.4,85.1,30,1439.4,7.699999809,43.70000076
5/1/2022 0:00,201.1,31-May-33,61.3,336.1,87.7,261.2,263.2,73.8,17,413.9,0,0
6/1/2022 0:00,61.14,30-Jun-33,42.6,204.9,62.9,269.3,144.5,26.1,12,745.4,0,27
7/1/2022 0:00,-184,31-Jul-33,8,23.7,24.3,106,78.3,18,0,478,0,11.60000038
8/1/2022 0:00,-413.2,31-Aug-33,1,1.6,21.6,71.4,69.8,16.1,0,265,0,0.5
