"Date is the CalLite-CV date column, the next column with the name of a CalLite-CV element is the LocalInflow data from the CT_noCC run for the CalLite-CV element from which we're going to be deriving these DSM stream flow time series in cfs (I couldn't find an output file in the Basin Study documentation for this like I did for the Outflow data in the master csv but spot checks indicated that the GoldSim model file I'm pulling these from have identical data to those outputs), CSDate is for my reference to avoid screwing up the 10/2014=10/1925 matching and shouldn't be needed for you, and the CalSim II records corresponding to the local inflows to the CalLite-CV element are listed afterward (in TAF/month, NOT cfs - I can do that conversion if it's more convenient but I'm hoping it'll be trivial for you... in any case we're not trying to do mass balance here, just multiplying by the fractions of the CalSim II totals, so as long as CalSim II is internally consistent wrt units it should be fine, right?). 'matches for other csvs.csv' contains the mappings between the DSM streams and CalSim II elements, as a one-stop summary for which DSM streams are showing up in which specific .csvs like this one. I renamed the CalSim II elements that map to DSM streams in this csv; everything that still has a CalSim II name is one of the elements that contributes to the total (the denominator) but is NOT a DSM stream. The CalSim II run I'm using at the moment is the most recent representation of current operations I've received; probably we'll be choosing a different baseline in the future but the matches csv mentioned above contains the CalSim II match for DSM streams, so I can go back and re-pull those time series if/when necessary. C17603 is Sites Reservoir outflows into the Sacramento in this region; it's zeroed out in the run I'm using but that should be re-checked if a different run is used. NOTE that matching 2014 to 1925 results in the last ~7 years of the CalLite-CV run not having an equivalent CS2 number...",,,,,,,,,,,,
Date,WilkinsSlough,CSDate,Elder Creek,Thomes Creek,Antelope Creek,Mill Creek,Deer Creek,Big Chico Creek,Stony Creek,C184A,I118,I123
9/1/2022 0:00,-476.3,30-Sep-33,0,0.1,23.9,70.7,70.5,17,12,53.9,0,19
10/1/2022 0:00,-434,31-Oct-33,1,2.1,32.3,78.8,77.7,20.5,2,0,0,0
11/1/2022 0:00,-329.2,30-Nov-33,3.1,10.3,43.7,79.8,79.6,21.1,11,11.5,0,0
12/1/2022 0:00,1130,31-Dec-33,42.7,137.1,159.3,253.6,356.5,157.3,10,1041,33.29999924,27.89999962
1/1/2023 0:00,909.2,31-Jan-34,120.6,254.4,155,223.6,295.4,135.7,10,1090.8,31.79999924,11.30000019
2/1/2023 0:00,1174,28-Feb-34,86.4,261.4,174.6,296.9,362.2,211.7,28,770.5,68.80000305,44.70000076
3/1/2023 0:00,445.2,31-Mar-34,95.1,293.9,128.2,287,273.7,83,15,468.1,27.89999962,25
4/1/2023 0:00,111.2,30-Apr-34,30.2,155,124.4,253.2,181.2,44.6,30,1276.3,0,10
5/1/2023 0:00,53.23,31-May-34,13.3,73.2,55.5,165.2,108.8,29.4,17,415.6,0,1.200000048
6/1/2023 0:00,227.1,30-Jun-34,4.8,22.9,25.4,108.6,81.8,22.7,0,599.4,0,11.69999981
7/1/2023 0:00,-374.6,31-Jul-34,1.4,4.1,16.6,72.4,66.7,16.3,0,486.6,0,14
8/1/2023 0:00,-432.9,31-Aug-34,0,0,19.8,65.4,58.4,16.9,0,265,0,1.700000048
9/1/2023 0:00,-458.8,30-Sep-34,0,0,22.3,66.2,60,19.4,12,277.4,0,5.5
10/1/2023 0:00,-543.8,31-Oct-34,4.6,9.8,30.4,74.1,67.3,19.9,6,0,0,0
11/1/2023 0:00,341.6,30-Nov-34,44.2,147,100.8,184,171.1,67.6,10,269,0,5.300000191
12/1/2023 0:00,502.9,31-Dec-34,35.2,112.7,97.7,155.4,139.1,59,10,446.4,12.30000019,14.89999962
1/1/2024 0:00,2240,31-Jan-35,110.6,233.3,306.3,441.8,511.5,311,10,0,70.90000153,36.40000153
2/1/2024 0:00,2016,28-Feb-35,128.2,387.7,154.7,263.1,321.8,177.1,28,729,69.30000305,21.79999924
3/1/2024 0:00,2082,31-Mar-35,96.1,296.8,155,346.9,527,347.7,25,2152.1,62.09999847,117.5999985
4/1/2024 0:00,2322,30-Apr-35,173.9,891.5,354.9,722.6,1124.9,510.1,536,0,193.5,366.2000122
5/1/2024 0:00,1167,31-May-35,63.4,348.1,181.4,540.4,593.8,98.5,28,702.2,0,62.59999847
6/1/2024 0:00,-94.85,30-Jun-35,14.9,71.7,81,346.5,196.4,36.7,12,779.2,0,29
7/1/2024 0:00,-325.8,31-Jul-35,3.6,10.8,33.3,145.5,102.9,26.8,11,760.6,0,8
8/1/2024 0:00,-317.1,31-Aug-35,0.7,1.2,27.4,90.5,81.4,23.1,0,469.1,0,0
9/1/2024 0:00,-354.2,30-Sep-35,0.4,0.6,26.5,78.6,75.9,22,23,319.5,0,23.60000038
10/1/2024 0:00,-6.835,31-Oct-35,2.8,5.9,35.7,87,86.9,24.8,14,27.8,0,5.099999905
11/1/2024 0:00,-248.2,30-Nov-35,3.4,11.3,46.4,84.7,88.6,25.6,11,138.5,0,0
12/1/2024 0:00,192.9,31-Dec-35,9,29,69.9,111.2,112.8,40,12,307.2,0,12.30000019
1/1/2025 0:00,4867,31-Jan-36,449.3,948,353.3,509.5,644.1,395.3,917,0,102.1999969,0
2/1/2025 0:00,8655,29-Feb-36,330.3,998.9,380.6,647.3,967.8,685.5,2253,0,193.3000031,166.3999939
3/1/2025 0:00,2592,31-Mar-36,154.1,476.4,129.3,289.3,387.1,123.9,24,960.9,3.400000095,43.90000153
4/1/2025 0:00,983.2,30-Apr-36,72.9,373.6,211.6,430.9,500.8,190.7,30,1563.8,0,54.29999924
5/1/2025 0:00,740.8,31-May-36,29,159.4,130.4,388.4,250.6,50.2,28,445.6,0,26.20000076
6/1/2025 0:00,492.3,30-Jun-36,15.5,74.3,68.4,292.7,168.1,47.1,12,911.8,0,34.90000153
7/1/2025 0:00,176.5,31-Jul-36,4.2,12.7,35.4,154.2,100.2,25.7,0,658.2,0,16.39999962
8/1/2025 0:00,-8.674,31-Aug-36,1.1,1.8,28.5,94.1,81.5,22.1,0,365.3,0,5.400000095
9/1/2025 0:00,-50.28,30-Sep-36,0.6,0.9,30.1,89.2,81.4,21.2,23,321.2,0,25.29999924
10/1/2025 0:00,-97.78,31-Oct-36,0.4,0.8,34.1,83.1,82.7,20.9,0,0,0,6.599999905
11/1/2025 0:00,-47.29,30-Nov-36,1,3.2,46,84,83.9,23.1,11,168.1,0,0
12/1/2025 0:00,96.62,31-Dec-36,2.2,6.9,56.3,89.6,92.9,27,10,322.2,0,0.400000006
1/1/2026 0:00,462.8,31-Jan-37,5.9,12.3,71,102.4,107.9,35.5,10,433,16,25.39999962
2/1/2026 0:00,2787,28-Feb-37,29.3,88.6,201.8,343.2,414.3,222.9,28,2836.6,50.79999924,43
3/1/2026 0:00,5263,31-Mar-37,132.3,408.8,187.5,419.6,618.7,424.8,288,0,101.6999969,49.59999847
4/1/2026 0:00,2035,30-Apr-37,138.9,712,213.5,434.7,636.6,305.3,30,1825.9,41.79999924,120.6999969
5/1/2026 0:00,980.2,31-May-37,86.7,475.5,172.2,512.8,425.6,87.2,28,484,0,56.40000153
6/1/2026 0:00,494.8,30-Jun-37,26,125.1,67,286.6,156,41.6,12,916.1,0,22.10000038
7/1/2026 0:00,338.6,31-Jul-37,6.5,19.4,27.4,119.5,92.5,24.9,11,640.7,0,11
8/1/2026 0:00,48.94,31-Aug-37,1.3,2.1,25,82.6,76,20.9,0,352.4,0,0
9/1/2026 0:00,32.87,30-Sep-37,0.2,0.3,26.7,79,74.4,20.1,23,231.2,0,20.5
10/1/2026 0:00,359.3,31-Oct-37,4,8.6,47,114.6,104.8,28.4,12,46.1,0,18.60000038
11/1/2026 0:00,2941,30-Nov-37,210.3,699.8,269.9,492.6,479.5,194.1,537,0,81.5,104.3000031
12/1/2026 0:00,6162,31-Dec-37,340.3,1091.7,678.4,1079.9,1272.3,505.5,2271,0,223,0
1/1/2027 0:00,4115,31-Jan-38,127.8,269.6,239.5,345.4,438.1,183.7,719,2880.6,29,22.70000076
2/1/2027 0:00,12759,28-Feb-38,240,725.7,590.6,1004.4,1798.3,1268.1,3412,0,539,70.80000305
3/1/2027 0:00,12633,31-Mar-38,520.1,1607.2,464.7,1040.1,1759.1,1118.5,3293,0,1165.900024,0
4/1/2027 0:00,3982,30-Apr-38,300,1537.6,341.8,695.8,892.6,376.9,116,0,73.80000305,299.3999939
5/1/2027 0:00,2737,31-May-38,219.2,1202.6,318.4,948.5,808,178.2,566,0,162.8999939,116.4000015
6/1/2027 0:00,1086,30-Jun-38,72.8,350,160.2,685.2,451.7,63.5,12,1166.5,0,68
7/1/2027 0:00,607,31-Jul-38,16.4,48.7,70.7,308.6,231.9,40.2,11,939.1,0,17.10000038
8/1/2027 0:00,643.4,31-Aug-38,7.2,11.9,49.2,162.4,142.1,31.3,12,463.2,0,0
9/1/2027 0:00,592.6,30-Sep-38,6.5,9.5,46,136.1,124.9,29.7,23,0,0,29.89999962
10/1/2027 0:00,520.6,31-Oct-38,6.8,14.4,55.2,134.7,129.8,33.2,260,21.6,0,22.70000076
11/1/2027 0:00,512,30-Nov-38,9.9,32.8,76.2,139.1,136.3,36,293,227.9,0,6.400000095
12/1/2027 0:00,642.3,31-Dec-38,46.9,150.5,100.4,159.9,169.8,51.5,37,366.7,0,10.19999981
1/1/2028 0:00,825.9,31-Jan-39,39.7,83.7,94.3,136,150,51.8,10,211.4,0,25.20000076
2/1/2028 0:00,1108,28-Feb-39,36.3,109.9,85.9,146.1,155.2,68.4,26,505.7,0,64.09999847
3/1/2028 0:00,888.2,31-Mar-39,113.1,349.6,124.7,279.2,329.7,132.6,0,258,0,29.79999924
4/1/2028 0:00,884.9,30-Apr-39,34.5,177,136.9,278.7,221.5,44.1,18,999.2,0,75
5/1/2028 0:00,688.4,31-May-39,16.7,91.7,65,193.5,135.6,34.5,17,410.9,0,0
6/1/2028 0:00,534.7,30-Jun-39,6.4,30.9,28.1,120.2,96,23,12,600.4,0,4.300000191
7/1/2028 0:00,355.1,31-Jul-39,1.9,5.6,19.7,86,79.7,19.2,0,478,0,5.099999905
8/1/2028 0:00,248.7,31-Aug-39,0.2,0.3,22.9,75.6,74.8,18,0,265,0,0
9/1/2028 0:00,320.9,30-Sep-39,0.1,0.1,26.8,79.5,77.3,18.8,12,493.2,0,18.79999924
10/1/2028 0:00,129.3,31-Oct-39,1,2.2,37.9,92.4,88.6,22.6,1,0,0,1.5
11/1/2028 0:00,132.3,30-Nov-39,1,3.4,48.4,88.2,85.4,23.2,11,45.9,0,1.600000024
12/1/2028 0:00,795.2,31-Dec-39,52.1,167.1,109.3,174.1,162.2,51.7,10,270.1,0,33.29999924
1/1/2029 0:00,5225,31-Jan-40,390.7,824.4,484.4,698.6,764.5,539,62,0,152.6999969,0
2/1/2029 0:00,14856,29-Feb-40,566.5,1713.1,676.4,1150.3,1881.1,902.4,3955,0,0,0
3/1/2029 0:00,7362,31-Mar-40,364.2,1125.4,406.8,910.5,1406,648.9,1045,0,246.8999939,131.6999969
4/1/2029 0:00,2367,30-Apr-40,125.4,642.6,255,519.1,811.3,287.7,18,0,417.7999878,224.1000061
5/1/2029 0:00,1712,31-May-40,46.4,254.6,146.4,436.1,282.1,63.8,28,387.5,0,9.199999809
6/1/2029 0:00,798.5,30-Jun-40,14.6,70.1,72.6,310.7,158.6,37.3,12,1205.7,0,6.900000095
7/1/2029 0:00,745.2,31-Jul-40,3.3,9.9,34.2,149.4,117.4,27.3,0,669.4,0,0
8/1/2029 0:00,418.3,31-Aug-40,1.8,2.9,31.8,105.1,100.6,22.8,0,459.6,0,0
9/1/2029 0:00,387.7,30-Sep-40,2.9,4.2,37.7,111.7,105.9,24,23,477.1,0,21.10000038
10/1/2029 0:00,607.6,31-Oct-40,6.5,13.8,45,125.9,121,28.8,11,0,0,0
11/1/2029 0:00,677.6,30-Nov-40,15,49.8,62.8,161.2,154.6,45.4,11,367.2,0,0
12/1/2029 0:00,6792,31-Dec-40,264,846.8,469.9,663.5,890.3,585.8,1479,0,218.6000061,0
1/1/2030 0:00,11940,31-Jan-41,441.3,931.2,522.3,634.4,992.6,759.8,4431,0,968.4000244,37.40000153
2/1/2030 0:00,13606,28-Feb-41,548.8,1659.8,888.9,1185.1,1594,799.3,4706,0,673.2999878,0
3/1/2030 0:00,6013,31-Mar-41,534.8,1652.7,507.2,725.7,1153.7,556.3,2817,0,696,0
4/1/2030 0:00,4162,30-Apr-41,252.4,1293.6,566.1,770.9,1239.3,639.8,1648,0,855.7000122,73
5/1/2030 0:00,4376,31-May-41,161.7,887.2,269.2,687.8,739.9,136.6,702,0,101.1999969,0
6/1/2030 0:00,2443,30-Jun-41,71.3,342.9,90.6,496.8,299.9,61.9,12,1258,0,53.5
7/1/2030 0:00,1369,31-Jul-41,28.2,84.1,53.7,331.4,182.9,40.2,11,892.4,0,4.699999809
8/1/2030 0:00,1095,31-Aug-41,13.3,22,47,178.7,154,33.4,12,397.8,0,0
9/1/2030 0:00,1006,30-Sep-41,10.1,14.8,43.2,144.6,139.2,32.2,23,156.4,0,0
10/1/2030 0:00,1012,31-Oct-41,6.9,14.7,43.8,132,140.6,31.4,207,0,0,0
11/1/2030 0:00,867.1,30-Nov-41,14.7,48.9,63.1,177.8,169.6,44.5,260,297.2,0,6.300000191
12/1/2030 0:00,6171,31-Dec-41,308.5,989.4,452.7,929.5,1047.5,545.2,1391,0,170.5,0
1/1/2031 0:00,8962,31-Jan-42,459.5,969.7,485,756.9,1153.7,644.6,2458,0,294.1000061,0
2/1/2031 0:00,8524,28-Feb-42,386.3,1168.3,724.7,926.9,1495.2,899,2912,0,759.7999878,169.8000031
3/1/2031 0:00,3636,31-Mar-42,125.6,388,143.9,309.9,381.2,124.4,23,1329.2,0,129.1000061
4/1/2031 0:00,3297,30-Apr-42,128.1,656.4,406,671.2,1013.7,400.5,674,2444.4,0,91.09999847
5/1/2031 0:00,4689,31-May-42,100.8,553.3,293,608.3,821.4,266.1,301,941.8,10.80000019,6.900000095
6/1/2031 0:00,2675,30-Jun-42,52.3,251.5,160.9,526.9,459.2,95.6,12,1094.8,0,93
7/1/2031 0:00,1492,31-Jul-42,16.2,48.2,64.8,313.1,211,44.5,11,920.6,0,14.89999962
8/1/2031 0:00,1266,31-Aug-42,7.2,11.9,54.9,160,163,36.4,12,396.1,0,0
9/1/2031 0:00,1159,30-Sep-42,5.1,7.5,51.8,133.9,147,32.7,23,320,0,0.300000012
10/1/2031 0:00,1116,31-Oct-42,3,6.4,46.4,117.1,127.2,28.6,77,0,0,14.19999981
11/1/2031 0:00,1336,30-Nov-42,42.5,141.5,53.1,159.9,186,48.5,240,330.1,0,8.199999809
12/1/2031 0:00,2582,31-Dec-42,134.3,430.8,117.2,269.1,287.2,98.3,583,1025.2,0,23.20000076
1/1/2032 0:00,11174,31-Jan-43,436.6,921.3,454.6,670.6,865.3,530.8,2470,0,372.2000122,0
2/1/2032 0:00,4333,28-Feb-43,187.1,565.8,252.6,424.2,552.4,256.9,240,0,129.8000031,397.6000061
3/1/2032 0:00,3524,31-Mar-43,177.9,549.8,460.9,766.2,1123.8,367.3,25,0,94.90000153,193.1000061
4/1/2032 0:00,2711,30-Apr-43,66.9,342.8,314.3,605.6,829.9,171.6,18,1973.8,0,106.5
5/1/2032 0:00,2555,31-May-43,32.2,176.6,161.6,466.6,458.6,95.9,17,748.7,4.599999905,70.69999695
6/1/2032 0:00,1825,30-Jun-43,14.8,71,90,373.4,287.1,54.4,12,1081.6,0,50.5
